Record_ID,Fiscal_Quarter,Department,Expense_Category,Budget_Allocated,Budget_Utilized,Monthly_Expense,Revenue_Forecast,Actual_Revenue,Budget_Variance,Revenue_Variance,Expense_Growth_Rate,Seasonal_Index,Spending_Volatility,Rolling_Expense_Mean,Rolling_Revenue_Mean,Inflation_Rate,Market_Index,Allocation_Efficiency,Budget_Status
1,Q3,Sales,Infrastructure,55526.37,76094.72,13066.48,298866.84,110913.24,-14346.85,-22619.87,7.2,1.07,0.061,7334.48,112248.32,2.81,123.98,79.81,Efficient
2,Q4,Finance,Operations,216798.15,143684.41,15238.29,102690.13,190508.0,13299.75,-21500.67,-0.41,1.25,0.277,6078.59,210648.54,4.7,118.97,84.49,Inefficient
3,Q1,R&D,Technology,78057.0,61616.75,14073.51,268312.08,143644.82,7240.65,-17170.75,0.46,0.98,0.409,9105.74,144525.26,4.75,120.69,70.44,Moderate
4,Q3,Sales,Operations,227312.82,54071.11,5454.2,184356.69,209880.92,-4564.39,-17079.68,7.24,1.05,0.266,15587.12,172581.8,4.36,98.0,96.9,Inefficient
5,Q3,Marketing,Training,195954.53,146367.9,13113.98,75224.25,159960.48,-5646.62,-12602.42,-4.42,1.12,0.076,5282.2,129766.17,5.67,107.21,95.84,Inefficient
6,Q4,R&D,Training,82934.05,93339.91,5234.07,293611.28,247609.38,-14042.12,21871.46,2.72,1.02,0.29,6950.51,120095.35,4.82,96.7,88.59,Inefficient
7,Q1,R&D,Technology,163163.6,63597.89,9821.02,291961.02,162100.79,16162.13,3791.0,8.81,0.98,0.244,6379.51,212577.35,2.33,100.27,75.98,Inefficient
8,Q1,Logistics,Training,112531.26,127662.95,12672.37,158152.29,193778.57,-15258.83,-3874.74,8.28,0.86,0.413,5483.27,215010.79,6.44,104.5,73.86,Moderate
9,Q3,IT,Infrastructure,85646.62,223452.44,12500.98,289452.68,137241.47,-1116.9,3189.98,7.06,1.12,0.195,15533.69,222168.48,5.14,115.5,94.87,Inefficient
10,Q2,Logistics,Operations,221836.44,186217.53,5024.25,102432.22,223409.22,-10539.26,-24714.42,-4.68,0.9,0.351,8634.62,225255.69,6.48,121.6,78.06,Efficient
11,Q3,R&D,Infrastructure,130704.55,204045.1,3585.41,226425.33,212315.2,19853.1,19737.35,8.32,0.87,0.065,14476.04,149934.54,4.15,98.8,80.54,Moderate
12,Q3,IT,Training,129708.74,215023.23,16569.98,114143.67,154325.23,3433.76,1615.66,8.67,0.89,0.339,6844.86,217524.44,2.01,96.91,81.08,Efficient
13,Q3,Sales,Maintenance,83977.33,234662.41,15340.68,126728.86,127107.22,-14016.62,-2417.47,4.96,1.14,0.067,10316.14,138808.85,5.81,125.93,75.97,Moderate
14,Q3,HR,Operations,126613.14,193833.08,4390.92,249247.61,203173.48,6702.56,22080.1,-0.52,0.87,0.188,6514.05,88928.06,4.83,99.56,90.29,Efficient
15,Q4,HR,Infrastructure,224323.37,163639.54,5166.06,156792.36,277209.12,19664.36,11520.4,2.35,1.29,0.429,5032.25,197187.38,2.1,110.69,86.1,Efficient
16,Q1,R&D,Technology,122625.74,116258.05,18173.92,71639.33,94844.68,4201.73,-8128.96,6.44,1.18,0.331,12971.11,113823.1,4.86,98.95,94.88,Efficient
17,Q4,Marketing,Infrastructure,240320.71,80420.43,16075.19,165274.84,244801.24,-1704.84,21807.87,7.2,1.0,0.42,11252.77,156750.25,6.66,113.73,76.14,Moderate
18,Q4,Finance,Maintenance,239261.78,178898.68,19934.73,122455.94,187173.15,-8269.2,17599.88,0.15,1.1,0.248,10416.27,107857.8,3.04,98.72,79.51,Efficient
19,Q4,Sales,Training,78979.73,239015.25,7317.79,227165.88,183250.93,-16315.06,22726.69,-0.11,0.8,0.292,6022.57,146561.17,3.41,121.68,83.85,Moderate
20,Q3,IT,Operations,85462.25,136134.94,11292.65,114723.2,281378.93,-10870.15,-20188.8,6.04,1.22,0.257,12646.66,230427.27,5.25,98.0,83.22,Inefficient
21,Q2,R&D,Technology,222534.81,186117.48,7019.81,263718.31,201321.83,2144.83,22764.24,5.3,0.94,0.242,15140.01,184235.87,6.1,110.06,97.49,Inefficient
22,Q1,Sales,Operations,128552.18,141543.03,13587.6,131431.39,251866.51,10151.43,2144.14,2.7,0.84,0.281,5874.18,105183.65,5.21,109.72,86.69,Efficient
23,Q2,R&D,Technology,50874.8,129227.02,4962.04,160396.5,180757.38,15117.24,8610.75,1.3,1.18,0.066,10374.96,203335.2,5.36,127.23,81.49,Efficient
24,Q4,Marketing,Operations,104774.36,125009.59,5163.13,138548.48,121217.01,11748.49,-14388.06,4.86,0.96,0.124,9050.23,224133.39,3.63,110.04,77.99,Efficient
25,Q4,Operations,Training,169525.8,143401.81,4222.09,218102.37,221260.31,-14981.39,-17979.93,-4.51,1.08,0.136,16594.4,108286.74,2.05,97.48,86.17,Inefficient
26,Q2,Operations,Technology,209853.19,116544.65,14790.96,93267.61,272714.8,10938.4,-21030.63,-3.86,1.22,0.203,8414.53,206496.42,6.2,114.02,85.3,Moderate
27,Q2,Marketing,Salaries,76677.72,191010.8,11399.23,179962.86,254276.77,3264.18,-3884.35,3.6,1.19,0.224,17275.65,173351.27,6.98,120.37,84.23,Moderate
28,Q2,IT,Operations,72108.27,215483.05,13501.43,146924.61,109631.81,-1235.7,-13932.53,-1.85,0.97,0.346,15769.23,182724.85,6.33,106.81,96.43,Moderate
29,Q4,Logistics,Operations,234418.53,217162.63,17948.12,273351.73,136300.05,2910.56,-20918.85,6.62,1.23,0.116,6302.07,239634.23,3.99,116.3,84.12,Moderate
30,Q4,Marketing,Infrastructure,200229.67,89401.25,15585.58,86884.78,181298.15,-19676.99,22753.31,6.59,0.99,0.278,11248.29,86215.32,3.76,99.26,76.39,Efficient
31,Q1,R&D,Technology,167955.92,219702.28,10849.29,260829.86,193610.74,-17290.79,11669.57,5.65,1.05,0.159,13437.02,188594.22,6.8,109.89,74.37,Efficient
32,Q1,IT,Maintenance,203837.36,111602.49,19734.05,108566.51,108608.18,1033.97,892.73,8.55,1.11,0.256,12709.93,93853.74,6.94,100.81,95.47,Inefficient
33,Q4,HR,Salaries,135770.87,105314.99,10756.35,90372.86,116752.78,-13055.23,12167.37,-2.89,0.84,0.301,13829.99,214229.65,5.06,104.58,97.94,Inefficient
34,Q2,Marketing,Training,201691.15,186717.43,4911.66,116534.26,235736.99,1821.64,5572.91,-1.11,1.1,0.283,10541.98,232342.73,4.57,117.44,86.59,Moderate
35,Q2,IT,Infrastructure,124360.6,104415.79,19875.13,93610.19,229321.42,-5831.46,-16098.37,-1.22,1.09,0.136,16761.66,94710.06,4.58,121.38,90.36,Moderate
36,Q1,Marketing,Salaries,98818.91,55328.45,3387.95,189826.31,253821.98,16296.48,6671.82,6.74,1.24,0.334,8514.69,84392.7,3.01,105.9,81.77,Moderate
37,Q4,Marketing,Technology,195802.68,117855.47,12348.02,297289.44,274909.21,17987.34,9050.61,2.82,0.98,0.312,6223.31,242463.68,5.64,129.64,94.13,Efficient
38,Q1,Logistics,Salaries,133934.46,185685.79,8254.62,77895.29,134358.75,19191.36,-13126.46,-1.21,0.92,0.423,17713.66,237509.49,2.86,104.97,79.71,Moderate
39,Q1,Logistics,Operations,246275.42,108756.89,11560.39,176059.52,258408.87,15957.52,-8992.77,-2.95,1.04,0.304,13475.46,237037.06,3.05,100.26,70.54,Efficient
40,Q3,R&D,Operations,119897.04,167764.02,12498.12,158796.18,214852.65,19435.63,-5834.97,8.4,1.14,0.338,13569.57,239746.48,5.37,125.36,71.07,Moderate
41,Q3,IT,Infrastructure,234345.48,173723.29,7081.63,148109.48,280498.35,8245.89,5127.33,5.38,1.08,0.374,15627.85,165016.48,6.35,117.74,93.12,Efficient
42,Q3,IT,Technology,236592.51,188078.52,12466.6,146328.63,126216.69,18421.69,-18659.6,2.93,0.87,0.092,10478.74,246072.93,5.33,118.78,81.78,Moderate
43,Q2,Finance,Technology,98370.59,219940.44,15853.04,275852.93,125676.09,5671.7,12173.91,9.48,0.97,0.329,10021.06,231693.12,4.37,122.8,97.1,Moderate
44,Q4,Marketing,Salaries,209644.24,129350.08,7530.67,74364.51,223466.03,12368.57,-7698.79,7.74,0.83,0.177,17338.89,96602.74,5.48,129.98,81.69,Inefficient
